data_dia,AQI,Qualidade_do_Ar
2012-01-01,17,N1 - Boa
2012-01-02,13,N1 - Boa
2012-01-03,19,N1 - Boa
2012-01-04,34,N1 - Boa
2012-01-05,37,N1 - Boa
2012-01-06,30,N1 - Boa
2012-01-07,25,N1 - Boa
2012-01-08,33,N1 - Boa
2012-01-09,23,N1 - Boa
2012-01-10,16,N1 - Boa
2012-01-11,23,N1 - Boa
2012-01-12,29,N1 - Boa
2012-01-13,20,N1 - Boa
2012-01-14,19,N1 - Boa
2012-01-15,18,N1 - Boa
2012-01-16,27,N1 - Boa
2012-01-17,99,N3 - Ruim
2012-01-18,61,N2 - Moderada
2012-01-19,35,N1 - Boa
2012-01-20,28,N1 - Boa
2012-01-21,84,N3 - Ruim
2012-01-22,60,N2 - Moderada
2012-01-23,34,N1 - Boa
2012-01-24,27,N1 - Boa
2012-01-25,22,N1 - Boa
2012-01-26,25,N1 - Boa
2012-01-27,18,N1 - Boa
2012-01-28,15,N1 - Boa
2012-01-29,10,N1 - Boa
2012-01-30,19,N1 - Boa
2012-01-31,21,N1 - Boa
2012-02-01,30,N1 - Boa
2012-02-02,38,N1 - Boa
2012-02-03,36,N1 - Boa
2012-02-04,32,N1 - Boa
2012-02-05,27,N1 - Boa
2012-02-06,31,N1 - Boa
2012-02-07,63,N2 - Moderada
2012-02-08,50,N2 - Moderada
2012-02-09,71,N2 - Moderada
2012-02-10,44,N2 - Moderada
2012-02-11,27,N1 - Boa
2012-02-12,25,N1 - Boa
2012-02-13,42,N2 - Moderada
2012-02-14,31,N1 - Boa
2012-02-15,28,N1 - Boa
2012-02-16,22,N1 - Boa
2012-02-17,30,N1 - Boa
2012-02-18,37,N1 - Boa
2012-02-19,26,N1 - Boa
2012-02-20,30,N1 - Boa
2012-02-21,22,N1 - Boa
2012-02-22,24,N1 - Boa
2012-02-23,26,N1 - Boa
2012-02-24,33,N1 - Boa
2012-02-25,111,N3 - Ruim
2012-02-26,46,N2 - Moderada
2012-02-27,30,N1 - Boa
2012-02-28,66,N2 - Moderada
2012-02-29,108,N3 - Ruim
2012-03-01,62,N2 - Moderada
2012-03-02,39,N1 - Boa
2012-03-03,35,N1 - Boa
2012-03-04,17,N1 - Boa
2012-03-05,40,N1 - Boa
2012-03-06,32,N1 - Boa
2012-03-07,21,N1 - Boa
2012-03-08,38,N1 - Boa
2012-03-09,52,N2 - Moderada
2012-03-10,47,N2 - Moderada
2012-03-11,26,N1 - Boa
2012-03-12,63,N2 - Moderada
2012-03-13,31,N1 - Boa
2012-03-14,25,N1 - Boa
