data_dia,AQI,Qualidade_do_Ar
2012-01-01,17,N1 - Boa
2012-01-02,21,N1 - Boa
2012-01-03,16,N1 - Boa
2012-01-04,27,N1 - Boa
2012-01-05,26,N1 - Boa
2012-01-06,22,N1 - Boa
2012-01-07,36,N1 - Boa
2012-01-08,38,N1 - Boa
2012-01-09,30,N1 - Boa
2012-01-10,19,N1 - Boa
2012-01-11,35,N1 - Boa
2012-01-12,28,N1 - Boa
2012-01-13,28,N1 - Boa
2012-01-14,29,N1 - Boa
2012-01-15,28,N1 - Boa
2012-01-16,30,N1 - Boa
2012-01-17,50,N2 - Moderada
2012-01-18,46,N2 - Moderada
2012-01-19,39,N1 - Boa
2012-01-20,37,N1 - Boa
2012-01-21,55,N2 - Moderada
2012-01-22,48,N2 - Moderada
2012-01-23,35,N1 - Boa
2012-01-24,55,N2 - Moderada
2012-01-25,50,N2 - Moderada
2012-01-26,32,N1 - Boa
2012-01-27,24,N1 - Boa
2012-01-28,25,N1 - Boa
2012-01-29,24,N1 - Boa
2012-01-30,20,N1 - Boa
2012-01-31,32,N1 - Boa
2012-02-01,33,N1 - Boa
2012-02-02,34,N1 - Boa
2012-02-03,33,N1 - Boa
2012-02-04,26,N1 - Boa
2012-02-05,33,N1 - Boa
2012-02-06,42,N2 - Moderada
2012-02-07,158,N4 - Muito Ruim
2012-02-08,121,N4 - Muito Ruim
2012-02-09,46,N2 - Moderada
2012-02-10,39,N1 - Boa
2012-02-11,27,N1 - Boa
2012-02-12,32,N1 - Boa
2012-02-13,36,N1 - Boa
2012-02-14,30,N1 - Boa
2012-02-15,22,N1 - Boa
2012-02-16,29,N1 - Boa
2012-02-17,25,N1 - Boa
2012-02-18,28,N1 - Boa
2012-02-19,32,N1 - Boa
2012-02-20,41,N2 - Moderada
2012-02-21,33,N1 - Boa
2012-02-22,37,N1 - Boa
2012-02-23,46,N2 - Moderada
2012-02-24,40,N1 - Boa
2012-02-25,67,N2 - Moderada
