,count,unique,top,freq,mean,min,25%,50%,75%,max,std
nome_estacao,113973,1,ESTAÇÃO CAMPO GRANDE,113973,,,,,,,
codnum,113973.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,0.0
data,113973,,,,2018-07-02 13:30:00,2012-01-01 03:30:00,2015-04-02 08:30:00,2018-07-02 13:30:00,2021-10-01 18:30:00,2024-12-31 23:30:00,
ano,113973.0,,,,2018.0001579321417,2012.0,2015.0,2018.0,2021.0,2024.0,3.7422717158866754
mes,113973.0,,,,6.522360559079782,1.0,4.0,7.0,10.0,12.0,3.4488433233689637
dia,113973.0,,,,15.732120765444447,1.0,8.0,16.0,23.0,31.0,8.800806929093568
data_dia,113973,4749,2024-12-31,24,,,,,,,
chuva,110558.0,,,,0.13693536424320268,0.0,0.0,0.0,0.0,66.4,1.1663926403042573
temp,108198.0,,,,27.42249043420396,14.02,24.07,26.75,30.2,45.23,4.718500524124662
ur,88173.0,,,,75.41549442573124,0.76,59.25,78.42,97.13,100.0,20.6978231531548
co,76164.0,,,,0.37521585000787777,0.0,0.21,0.33,0.48,2.85,0.24626303178911485
no,100239.0,,,,18.65939389858239,0.0,3.77,8.19,20.32,597.69,28.749618271303834
no2,100218.0,,,,30.842148366560895,0.0,19.11,27.98,39.36,161.22,16.329434343532057
nox,100212.0,,,,49.493022991258535,0.03,24.33,38.05,60.97,685.74,39.39194940549333
so2,94073.0,,,,4.095606975433972,0.0,0.79,3.08,6.15,199.23,4.600603599925365
o3,107683.0,,,,36.17997065460658,0.0,11.67,30.46,53.1,307.76,30.01163405206544
pm10,107524.0,,,,33.110152152077674,0.0,19.0,28.0,41.0,338.0,21.277863915583364
pm2_5,0.0,,,,,,,,,,
lat,113973.0,,,,-22.88625468,-22.88625468,-22.88625468,-22.88625468,-22.88625468,-22.88625468,0.0
lon,113973.0,,,,-43.55652197,-43.55652197,-43.55652197,-43.55652197,-43.55652197,-43.55652197,0.0
